"","book_title","review_title","review_user","book_id","review_id","timestamp","review_text","review_score"
"1","Pet Sematary: A Novel","new parents: beware","DonGrew","198211598X","R2A7WUHM6V387I","1554975246","Started this book when my kiddo was about the same age as Gage. Couldn’t finish it for a year or two. Scary as they come.",5
"2","Woke: A Guide to Social Justice","Now I despise myself. Thanks, Titania!","Buckdarmha","1472130847","R21D8ZJSXS19S5","1554975375","I already lack the strength to buy and read this book, since the descriptions of its contents has caused me to realize what a terrible person I must be. As a cis-white male of the male gender persuasion I have tried to live my life every day as an advocate for those who are not like me. Years ago, I thought that by adapting disadvantaged black and hispanic orphans that I might help them improve their lives and in some small way exonerate my race from being the Worst of All Time (WOAT). But the first sentences from the book description made me realize the irredeemable sin of trying to be kind and help people while being white. Now I cannot bear to even look at my children.",5
"3","Milkman: A Novel","More than a good read, life affirming, A novel that will stay with you....","Sheela","1644450003","R14KRF1HK9SOJ8","1554975392","A wonderful and compelling book! The kind that stays with you. I follow the Man Booker nominees and winner and bought this book while on vacation in Ireland. I admit it was slow going at first. Please put yourself in the mindset of an 18 year old and let the prose envelope your own teenage memories as you experience the young girl's thoughts you are sharing. When I would pick up the book to continue delving into the next chapter I was terrified for her yet admired her strength and intelligence. I suggest when you finish the last page, do yourself a favor and read the first chapter again, magical. Thank you, Anna Burns.",5
"4","The Woman in the Window: A Novel","I thought this was a really good book, with a surprising twist","V. Andrews","62678426","R3HR20H2543VRX","1554975405","I thought this was a really good book, with a surprising twist, actually several surprises, and wrapped up very nicely!  This author is one to watch in my book, and I will be on the lookout for more of his work.  Very suspenseful.",5
"5","Hashimoto’s Food Pharmacology: Nutrition…","Healthy Life starts in the Gut!","Tracy Green","0062571591","R2HNLX92ETQEZB","1554975528","As fellow hashimoto suffer too, I find this book very helpful. I hear from many thyroid patients daily through our support group. They say over and over again, I'm feeling tired, I am over-weight and the brain fog is killing me. I tell them it starts with the gut. Get your gut healthy and you'll start feeling better, along with the right meds and supplements. Shopping list, meal plans, recipes, advice and the science behind it. Suffering from hashimotos or thyroid disease read this book!",5
"7","A Gentleman in Moscow: A Novel","I love this book!","DZE","0143110438","R2V3VM7VABIPGE","1554975857","I truly loved this book! I was expecting something different, based on one of the comments saying it was like a cross between Hotel Budapest and Bond Villians...Its a fantastic story... I dare say ""heartwarming"" and I normally HATE heartwarming. But in this case, it's a very very good thing!After staying in former Soviet era hotels, I could very well imagine this setting and it's staff.",5
"8","The River: A novel","Well written and great story","M. Lee Rice","525521879","RA0ZQ91QDEBW5","1554976025","Well written and great story.",5
"10","Cemetery Road: A Novel","Great Book Mr. Iles!","BeMa","0062824619","R10VJ8JX3YNVPH","1554976266","I enjoy reading a lot of authors, Greg Iles is definitely one of those. I really like Greg Iles characters, they are never perfect and Marshall isn't perfect (unlike the rest of us right?), they feel so realistic though. Marshall has been through a lot of loss that lays heavily on him. Add more on top of it, a man who was like a Father to him has been murdered and Marshall is looking to discover who did it, his love of his life is married to his best friend who happened to save his life...now I could go on and on. A lot going on in this book. Greg Iles hits another out of the park.  Oh and P.S. there is no Trump bashing as others have commented.  He was working in D.C. on the investigation as a journalist.  Come on people.",5
"11","Cemetery Road: A Novel","Thrilling Insightful page turner","Pembroke","0062824619","R2VBDHPOXGOA7Z","1554976746","Good insightful thriller.  Iles is a great story teller and he comes through strong in this novel!  I read ""Natches Burning"" and was so impressed with how he weaved in political historical facts in a fictional story; it read so believable that I decided to read this novel.  Just as in his earlier novels he includes today's sentiments towards politics and political figures, which will offend some readers who can't read objectively.  The story line at times felt it pulled in concepts from ""Natches Burning"" which is my reason for a 4 star rating.  Full of suspense, betrayal, wealth and power, and the corruption that consumes the arrogant... it will make you put today's political abuse in perspective.",4
"12","A Gentleman in Moscow: A Novel","Delightful book","Jayhawk82","0143110438","R1Q062RVBF8SVQ","1554976817","A delightful book, full of plot twists and turns, as well as subleties of Russian history.  I can't recall a fiction book of recent vintage that I've enjoyed more.  I came to this book after reading Towles' ""Rules of Civility,""  which was also an enjoyable read, but not on the same level as ""A Gentleman in Moscow.""  Characters, especially the Count, are well developed and the story moves along at a brisk pace.  I am curious as to why Towles named each chapter beginning with the letter ""A"".  In any case, don't miss this one---it's a superb work.",5
